Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
1/15/2022 22:07,1/16/2022 21:47,UTC-06:00,1/15/2022 22:07,1/16/2022 6:28,90,13.7,451,501,156,103,192,50,500,40,90,FALSE
1/14/2022 23:34,1/15/2022 22:07,UTC-06:00,1/14/2022 23:34,1/15/2022 6:22,82,13.4,376,408,177,82,117,32,461,0,92,FALSE
1/13/2022 22:01,1/14/2022 23:34,UTC-06:00,1/13/2022 22:01,1/14/2022 7:33,100,13.7,534,572,209,118,207,38,523,117,93,FALSE
1/13/2022 0:01,1/13/2022 22:01,UTC-06:00,1/13/2022 11:22,1/13/2022 12:47,15,14.1,84,84,52,13,19,0,575,117,100,TRUE
1/13/2022 0:01,1/13/2022 22:01,UTC-06:00,1/13/2022 0:01,1/13/2022 4:14,48,13.5,243,253,121,48,74,10,504,26,97,FALSE
1/11/2022 23:58,1/13/2022 0:01,UTC-06:00,1/11/2022 23:58,1/12/2022 7:36,91,13.6,422,451,226,84,112,29,465,0,93,FALSE
1/10/2022 22:08,1/11/2022 23:58,UTC-06:00,1/10/2022 22:08,1/11/2022 7:51,100,13.8,543,582,203,121,219,39,523,45,93,FALSE
1/9/2022 22:00,1/10/2022 22:08,UTC-06:00,1/9/2022 22:00,1/10/2022 5:29,80,14.1,403,448,147,111,145,45,507,35,90,FALSE
1/8/2022 23:22,1/9/2022 22:00,UTC-06:00,1/8/2022 23:22,1/9/2022 7:35,88,13.8,458,488,197,92,169,30,520,35,93,FALSE
1/8/2022 0:21,1/8/2022 23:22,UTC-06:00,1/8/2022 0:21,1/8/2022 8:25,88,14.2,454,483,168,98,188,29,519,58,94,FALSE
1/7/2022 1:08,1/8/2022 0:21,UTC-06:00,1/7/2022 1:08,1/7/2022 8:23,80,13.9,398,435,145,79,174,37,498,8,91,FALSE
1/5/2022 22:25,1/7/2022 1:08,UTC-06:00,1/5/2022 22:25,1/6/2022 7:52,97,13.8,519,564,186,114,219,45,537,74,92,FALSE
1/4/2022 22:18,1/5/2022 22:25,UTC-06:00,1/4/2022 22:18,1/5/2022 5:09,67,13.5,374,411,189,71,114,37,561,79,91,FALSE
1/4/2022 1:32,1/4/2022 22:18,UTC-06:00,1/4/2022 1:32,1/4/2022 8:00,65,13.7,368,381,183,48,137,13,565,86,96,FALSE
1/3/2022 2:44,1/4/2022 1:32,UTC-06:00,1/3/2022 2:44,1/3/2022 8:20,62,13.5,312,337,89,71,152,25,503,17,93,FALSE
1/1/2022 22:13,1/3/2022 2:44,UTC-06:00,1/1/2022 22:13,1/2/2022 7:54,94,13.9,559,577,159,128,272,18,593,113,97,FALSE
1/1/2022 1:11,1/1/2022 22:13,UTC-06:00,1/1/2022 1:11,1/1/2022 5:29,50,14.1,244,257,120,50,74,13,487,17,95,FALSE
12/30/2021 23:43,1/1/2022 1:11,UTC-06:00,12/30/2021 23:43,12/31/2021 8:18,94,13.8,465,514,151,102,212,49,494,37,90,FALSE
12/30/2021 0:36,12/30/2021 23:43,UTC-06:00,12/30/2021 0:36,12/30/2021 8:11,87,13.8,419,453,172,114,133,34,481,2,92,FALSE
12/28/2021 22:50,12/30/2021 0:36,UTC-06:00,12/28/2021 22:50,12/29/2021 9:12,99,13.9,548,622,196,122,230,74,551,72,88,FALSE
12/28/2021 1:29,12/28/2021 22:50,UTC-06:00,12/28/2021 1:29,12/28/2021 9:07,75,14.3,417,457,132,114,171,40,557,75,91,FALSE
12/27/2021 0:54,12/28/2021 1:29,UTC-06:00,12/27/2021 0:54,12/27/2021 7:30,74,13.8,369,395,154,70,145,26,500,43,94,FALSE
12/26/2021 2:28,12/27/2021 0:54,UTC-06:00,12/26/2021 2:28,12/26/2021 10:09,85,14.2,428,461,148,104,176,33,504,17,93,FALSE
12/24/2021 21:52,12/26/2021 2:28,UTC-06:00,12/24/2021 21:52,12/25/2021 6:59,94,14.3,508,547,200,120,188,39,541,67,92,FALSE
12/23/2021 23:57,12/24/2021 21:52,UTC-06:00,12/23/2021 23:57,12/24/2021 7:47,77,14,410,469,120,125,165,59,533,74,88,FALSE
12/22/2021 23:52,12/23/2021 23:57,UTC-06:00,12/22/2021 23:52,12/23/2021 7:27,67,14.2,410,453,153,92,165,43,613,140,92,FALSE
12/22/2021 0:11,12/22/2021 23:52,UTC-06:00,12/22/2021 0:11,12/22/2021 3:55,38,14.4,202,223,105,37,60,21,531,52,90,FALSE
12/20/2021 22:49,12/22/2021 0:11,UTC-06:00,12/20/2021 22:49,12/21/2021 6:57,82,14.2,465,488,217,55,193,23,569,83,95,FALSE
12/19/2021 23:18,12/20/2021 22:49,UTC-06:00,12/19/2021 23:18,12/20/2021 5:32,63,14.4,340,375,156,61,123,35,539,61,91,FALSE
12/18/2021 23:51,12/19/2021 23:18,UTC-06:00,12/18/2021 23:51,12/19/2021 7:13,73,14.5,396,440,118,102,176,44,543,86,90,FALSE
12/18/2021 4:23,12/18/2021 23:51,UTC-06:00,12/18/2021 4:23,12/18/2021 10:47,62,15.1,331,383,162,69,100,52,537,54,86,FALSE
12/17/2021 0:44,12/18/2021 4:23,UTC-06:00,12/17/2021 0:44,12/17/2021 8:41,76,14.9,438,477,197,100,141,39,575,104,91,FALSE
12/16/2021 1:54,12/17/2021 0:44,UTC-06:00,12/16/2021 1:54,12/16/2021 7:06,54,14.9,292,308,142,54,96,16,544,49,94,FALSE
