Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
12/23/2021 23:57,12/24/2021 21:52,UTC-06:00,12/24/2021 9:40,12/24/2021 10:22,41,Box Fitness,10.9,386,173,137,4,6,29,31,28,FALSE,,,
12/22/2021 0:11,12/22/2021 23:52,UTC-06:00,12/22/2021 7:56,12/22/2021 9:11,75,Box Fitness,10.2,438,169,116,12,34,29,16,7,FALSE,,,
12/20/2021 22:49,12/22/2021 0:11,UTC-06:00,12/21/2021 9:14,12/21/2021 9:30,16,Running,9.3,210,184,155,0,0,6,32,50,TRUE,22.36,0,0.25
12/20/2021 22:49,12/22/2021 0:11,UTC-06:00,12/21/2021 8:23,12/21/2021 9:14,51,Weightlifting,7.1,248,151,112,8,49,33,8,0,FALSE,,,
12/19/2021 23:18,12/20/2021 22:49,UTC-06:00,12/20/2021 18:04,12/20/2021 18:35,31,Running,11.3,348,181,145,7,4,9,27,46,TRUE,7.54,0,-0.01
12/19/2021 23:18,12/20/2021 22:49,UTC-06:00,12/20/2021 8:09,12/20/2021 9:02,52,Weightlifting,7.8,273,164,115,14,40,22,19,2,FALSE,,,
12/18/2021 23:51,12/19/2021 23:18,UTC-06:00,12/19/2021 8:39,12/19/2021 9:38,59,Box Fitness,11.6,415,181,122,26,14,17,16,22,FALSE,,,
12/17/2021 0:44,12/18/2021 4:23,UTC-06:00,12/17/2021 16:29,12/17/2021 17:30,60,Box Fitness,12.4,392,198,120,15,38,20,8,4,FALSE,,,
12/16/2021 1:54,12/17/2021 0:44,UTC-06:00,12/16/2021 16:32,12/16/2021 17:19,47,Box Fitness,8.7,269,174,115,17,32,22,14,13,FALSE,,,
12/14/2021 23:38,12/16/2021 1:54,UTC-06:00,12/15/2021 15:58,12/15/2021 16:24,26,Weightlifting,4.7,70,137,98,28,59,11,0,0,FALSE,,,
12/14/2021 23:38,12/16/2021 1:54,UTC-06:00,12/15/2021 9:17,12/15/2021 9:37,19,Weightlifting,5.5,104,158,114,3,40,40,11,4,FALSE,,,
12/14/2021 23:38,12/16/2021 1:54,UTC-06:00,12/15/2021 8:50,12/15/2021 9:15,25,Running,13.6,346,192,157,2,14,5,5,5,TRUE,2.04,0,-88.4
12/13/2021 22:59,12/14/2021 23:38,UTC-06:00,12/14/2021 9:24,12/14/2021 10:22,57,Weightlifting,7.1,250,158,109,14,38,36,9,0,FALSE,,,
12/12/2021 23:40,12/13/2021 22:59,UTC-06:00,12/13/2021 9:32,12/13/2021 10:28,56,Box Fitness,11.5,364,189,122,5,34,33,10,3,FALSE,,,
12/12/2021 3:19,12/12/2021 23:40,UTC-06:00,12/12/2021 17:53,12/12/2021 18:19,26,Running,11.8,341,181,156,0,0,2,16,76,TRUE,2494.25,19.13,-4.51
12/9/2021 22:25,12/10/2021 15:17,UTC-06:00,12/10/2021 8:14,12/10/2021 9:08,53,Box Fitness,10.9,419,188,126,4,21,28,33,9,FALSE,,,
12/8/2021 23:40,12/9/2021 22:25,UTC-06:00,12/9/2021 15:15,12/9/2021 16:06,51,Box Fitness,14.7,537,197,139,2,26,16,12,12,FALSE,,,
12/8/2021 1:10,12/8/2021 23:40,UTC-06:00,12/8/2021 8:28,12/8/2021 9:15,46,Box Fitness,10.9,293,186,117,21,41,2,9,14,FALSE,,,
12/6/2021 22:00,12/8/2021 1:10,UTC-06:00,12/7/2021 9:50,12/7/2021 10:27,36,Box Fitness,14.6,519,196,159,1,0,5,8,50,FALSE,,,
12/6/2021 4:03,12/6/2021 22:00,UTC-06:00,12/6/2021 13:00,12/6/2021 13:55,54,Weightlifting,4,56,113,78,90,9,0,0,0,FALSE,,,
12/4/2021 23:29,12/6/2021 4:03,UTC-06:00,12/5/2021 8:36,12/5/2021 9:35,58,Box Fitness,11.9,381,192,118,31,14,17,10,18,FALSE,,,
12/3/2021 21:30,12/4/2021 23:29,UTC-06:00,12/4/2021 9:28,12/4/2021 10:59,91,Weightlifting,7.4,302,149,103,28,43,26,2,0,FALSE,,,
12/2/2021 21:43,12/3/2021 21:30,UTC-06:00,12/3/2021 9:30,12/3/2021 10:18,47,Box Fitness,7.8,263,169,114,17,26,28,26,2,FALSE,,,
12/1/2021 20:57,12/2/2021 21:43,UTC-06:00,12/2/2021 9:18,12/2/2021 10:12,54,Weightlifting,7.7,282,150,112,11,32,35,20,0,FALSE,,,
12/1/2021 20:57,12/2/2021 21:43,UTC-06:00,12/2/2021 8:53,12/2/2021 9:10,16,Stairmaster,4.4,46,130,94,55,16,28,0,0,FALSE,,,
11/29/2021 21:42,11/30/2021 19:58,UTC-06:00,11/30/2021 15:28,11/30/2021 16:37,69,Box Fitness,9.1,335,178,107,32,19,24,14,7,FALSE,,,
11/28/2021 20:47,11/29/2021 21:42,UTC-06:00,11/29/2021 9:31,11/29/2021 10:32,60,Box Fitness,10.1,359,185,118,11,28,31,18,6,FALSE,,,
11/28/2021 20:47,11/29/2021 21:42,UTC-06:00,11/29/2021 8:18,11/29/2021 9:22,63,Weightlifting,5.8,168,138,98,31,50,17,0,0,FALSE,,,
11/26/2021 21:05,11/27/2021 20:24,UTC-06:00,11/27/2021 9:42,11/27/2021 10:41,58,Box Fitness,13.1,526,188,132,6,18,22,20,26,FALSE,,,
11/25/2021 22:25,11/26/2021 21:05,UTC-06:00,11/26/2021 14:57,11/26/2021 15:56,58,Functional Fitness,5.3,136,135,95,40,48,10,0,0,FALSE,,,
11/24/2021 21:43,11/25/2021 22:25,UTC-06:00,11/25/2021 9:36,11/25/2021 10:14,37,Box Fitness,14.1,463,192,150,2,13,11,6,28,FALSE,,,
11/23/2021 0:33,11/23/2021 20:15,UTC-06:00,11/23/2021 16:30,11/23/2021 17:25,55,Box Fitness,8.3,301,158,112,18,24,36,20,0,FALSE,,,
11/21/2021 21:45,11/23/2021 0:33,UTC-06:00,11/22/2021 10:20,11/22/2021 10:31,10,Rowing,6.3,105,162,137,0,6,23,43,26,TRUE,,,
